text,original_label,original_category,super_category,super_label
"Just to shed some light on the fire, it was widely reported (AP, etc.) that
there WERE several witnesses to BD folks starting the fires.  It has also
been reported that the fires broke out in several places at once, which
rules out a Bradley knocking over a lamp, etc. as the cause.

What I would like to see is some serious discussion of this incident.  I
believe the moves made were right and proper, but I still have some problems
with some of the tactics.  After watching the ABC special on it tonight, as
well as CNN and Nightline, I question some of the ATF and FBI actions.

1) Could it have been possible to have taken Koresh outside the compound at
some time before the Feb. 28th raid?

2) Could a further wait have resulted in a different outcome.

3) Were FBI actions (blaring loudspeakers, etc.) the ""right"" course of action?

And a few other questions.  Like I said, I believe the actions taken, in
general, were proper.  But I still have some reservations.",16,talk.politics.guns,politics,3.0
"*** On 04-21-93  04:50, R.x. Getter had the unmitigated gall to say this:

 RG> This may be a dumb question, but I need to put a hard drive on my
 RG> father's PC/XT, either MFM, RLL, or IDE. I know how to hook it up, but
 RG> how do I tell the computer the geometry of the drive. On my 386, you
 RG> set it in the BIOS, but I doubt that's how it's done on an XT. I

Most XT IDE controllers are responsible for keeping track of the drive
geometry and getting the information to the computer.  The controller may
come with software to update its on-board BIOS, or may be designed to work
with a particular drive.  Seagate drives usually have special controllers
for use on XT's, and these are tailored to the drive.

Also, you cannot low-level format an IDE drive.  The low-level format is
stored on specal magnetic areas on the disk surface called ""servos"" (not
like the electronic use of the term) that need a higher recording bias than
the drive's recording heads can generate.  Don't try to low-level format an
IDE drive!

... P.E.T.A. People for the Eating of Tasty Animals
--- Blue Wave/QWK v2.10
                                                  ",3,comp.sys.ibm.pc.hardware,technology,0.0
"[Motor-Voter stuff]

       Well, there does have to be a line.  And to be honest, extending
voter registration to DMVs is hardly analogous to having only one
place for registration in Alaska and opening a new one in Atlanta.  More is 
not always better once you've passed a certain point.


       I thought the Motor Voter bill passed.

       In any case, my experiance with Tennessee's voter registration
system (which you can register with by mail, by the way) is that nobody
who is interested in voting is being denied access to registration.
All it requires is just the tiniest bit of interest on the registrant's
part and thinking about the election once in the eleven months prior to
it.  (Once you register it's good unless you miss for years worth of
elections of move.)

       It's easy to register now.  I simply don't see the value in going
out and trying to get people registered who don't have enough gumption to
even write and have the proper forms sent to them.   How can we expect
responsible decisions out of these people?
",18,talk.politics.misc,politics,3.0
 >specific objections that don't sound frighteningly technical.,11,sci.crypt,science,1.0
"
Here's the one that I used:

# @(#)$Id: MH,v 1.7 90/04/06 09:44:31 sources Exp $
# SCO 3.2.4v2
bin	/usr/local/bin
bboards	on
etc	/usr/local/lib/mh
mail	/usr/spool/mail
mailgroup	mail
ldoptlibs	-lsocket -lcrypt_i
mandir	/usr/man
cc	gcc
ccoptions	-traditional
manuals	none
chown	/bin/chown
mts	sendmail/smtp
pop	on
debug	off
sharedlib	off
signal	void
sprintf int
options	ATTVIBUG BIND DPOP DUMB RENAME SOCKETS SYS5 SYS5DIR VSPRINTF FCNTL MHE MHRC MIME MORE='""/usr/bin/more""' POPSERVICE='""pop3""' RPATHS FOLDPROT='""700""' MSGPROT='""600""' SBACKUP='""\\043""' SHADOW
curses	-lcurses -ltermcap
ranlib	off

You may want to use a different locking style; my mailbox is mounted over NFS
so I use fcntl-style locking.

I also applied the following tweak to sbr/makedir.c:

*** /src/public/mh-6.8/sbr/makedir.c    Tue Dec 15 10:55:22 1992
--- sbr/makedir.c       Tue Apr 13 14:02:04 1993
***************
*** 24,30 ****
  #include <sys/types.h>
  #include <sys/stat.h>
  #endif        /* SYS5DIR */
! #if defined(SVR4) || defined(ncr)
  #include <unistd.h>
  #endif

--- 24,31 ----
  #include <sys/types.h>
  #include <sys/stat.h>
  #endif        /* SYS5DIR */
! #if defined(SVR4) || defined(ncr) || defined(SYS5)
! #define MAXPATHLEN 1024
  #include <unistd.h>
  #endif

That took care of everything but the man pages, which I installed by hand.

Good luck,
-- Steve",5,comp.windows.x,technology,0.0
"
It's my understanding that the next release of UIM/X, due out
last February :-) has full support for C++.

I use XDesigner which does not have the interpreter or UI meta languages
of these other tools but does fully support C++ code generation,
reusable templates via C++ classes which are generated, a variety of
other handy features for using C++ and layout functions in different
ways, and generates Motif 1.2 code (including drag 'n drop, 
internationalization, etc.).  Fits in quite nicely with Doug Young's
paradigm for C++/Motif.

Available in the US from VI Corp, in Europe from Imperial Software,
London (see FAQ for details).",5,comp.windows.x,technology,0.0
"
: So to most of the computer users in the world MS product symbolize
: quality. MS has made their life easier, and more productive and to them
: that is quality. They do not care about what innovative things MS has
: done, other than to make their life with a computer one heck of a lot
: easier. You may know better than most computer users in this world
: but that will not change their perception.

None of this changes the fact that MSW3.1 is objectively inferior to its
competition.

I have begun to learn in life that the masses never choose the best option
available to them-- they choose the one which they have been conditioned to 
think is best.  I'm glad I'm not one of them.  ",2,comp.os.ms-windows.misc,technology,0.0
"O

I also would like code or algorithms to do this.

In fact, I am interested in sources for code and/or algorithms that
convert 2D graphical objects into other 2D graphical objects that
will render into the same image. i.e. Bezier curves to B splines,
or splines to circular arc segments, or B splines to polgons, etc...

",1,comp.graphics,technology,0.0
"

Maybe in the 60's, but not now.  Steel is a dead industry in Pgh. 

No, a giveaway night in the 90's for Pgh would be ""Baboon Liver Night""
sponored by The Pittsburgh Zoo...",10,rec.sport.hockey,recreation,2.0
"Cannondale 3.0 Road Bike  56 cm
Bright Blue Color
Dura Ace 8 speed not STI, could be easily converted though.
32 spoke wheelset, clinchers.

Complete Bike $700 or best offer.  All offers will be considered
this bike has to go.  Desperate times call for desperate measures.
Will consider parting out, write for details.",6,misc.forsale,forsale,4.0
"For those of you who have TI ps35 laser printers, if you want an envelope
feeder, they are now on sale, direct from TI for the unbelievable price of
$45! Call 1-800-847-2787.  Same for extra paper trays.  They have too many
gray ones and want to move them out. Strange but true.

--The Bobmeister",4,comp.sys.mac.hardware,technology,0.0
"

Ha!


Watch me. It flies. It lands. It gets rebuilt.



That's not what they told us back in the '70's.


1. It isn't a logical follow-on. A logical follow-on would have
been either a Russian ""snowfox"" type thingey (for the lifting bodies)
or something like MMI's Space Van (or Boeing's TSTO, or the airbreathing
TSTO the military is allegedly _using_ now that probably cost less
to develop than the shuttle does to fly for a year).


Keep that attitude, and it'll be a couple centuries before we get real
access to space, unless another country without all that baggage comes
along and kicks our ass in the space race.


Or NASA HQ. That doesn't give the rest of the program plausible deniability
if we deceide that it wasn't worth the money we've spent, which is by now
probably a lot more than Apollo.


Yes, but it gets sold on the basis of the political statements.
You're saying basically that it met the engineering specs (which is
questionable, IMHO) so it's a success, never mind that you couldn't
get the funding the shuttle eats with those engineering specs in
a thousand years.


You can get hypersonic flight data with an X-15 or a follow-on X-15
type vehicle for much less.

And economics and engineering are interchangable; engineering in the
absense of economics is basically just physics, and in terms of physics,
the shuttle looks like a failure next to the X-15.



HS>Sorry, support that I can arrange for launchers all goes to launchers
HS>that I have some hope of riding some day.  At the moment, that's
HS>DC-X's hoped-for successors.


The shuttle program has a bad record. I _once_ had hopes for the
shuttle program. By now I know those hopes were false. 

All I have for DC-X and similar and dissimilar experimental vehicles
are hopes. But at least I know they aren't false hopes yet.

I did support the shuttle, way back when. It didn't do nearly what
it was supposed to. It's time to move on to something that might do
the job of orbital delivery better. Or at all.





We don't want to learn how to operate on orbit. It launches, it
shoves out the payload, it lands. It doesn't waste payload hauling
up and down EDO pallets and the like.

The only thing to be learned from shuttle is how *not* to build a
launcher.

Finally: that bit about the ""proven"" shuttle. Are you hoping you can
tell a lie enough times and get someone to believe it?


How much science and technology could have been done is the money spent
on shuttle had been spent differently?

...

Learn about economics and the current budget realities in the United States,
please.

",14,sci.space,science,1.0
"*yawn* The Church of Kibology did it first and better.
",19,talk.religion.misc,politics,3.0
"
Exactly.  Although this may be a dissapointing answer, there has to be an
interplay of the two.  Personal Ethos and Societal Morality.  A person's
self-generated/learned set of beliefs are usually expressed on a purely
mental/verbal level, and don't usually find expression in society except in an
impure (not in the sense of bad :) ) state.  Sometimes this has to be so.


Also, what if one feels oneself to be part of more than one society, in a very
real sense?  To use the obvious example, there is a political society, and a
racial society, and a gender society, and sometimes they do not always agree on
every issue...



Yes.  Perhaps with an infamous ""do what you want so long as it doesn't hurt
others?""  The problem with this is that it is merely saying what you CAN do: it
is not a morality in that it doesn't propound any specifically preferred
behaviours.


I'll add a hearty ""me two"".  However, one could just as well say just because
certain actions are moral does not make them legal: one still doesn't really
get an impression of which one is truly ""right"".




best regards,",0,alt.atheism,politics,3.0
"
[deletions]


Sounds like it is an SMD interface to me, not being at work now
to actually count pins.  there are two varients, SMD  and
SMDC (I think), only minor differences between them.  Widely used
prior to the advent of SCSI for large drives (or all drives) on minis
(and mainframes(?) no experience on those).",12,sci.electronics,science,1.0
"
I just put one in my machine last week.  I have an AST 486/66.  I was
getting ~10million winmarks with my Diamond SS24, and the #9 board is
doing ~20million winmarks.  From my brief experiences with it, i'm very
satisfied.  BTW, this is with Win 3.1.",2,comp.os.ms-windows.misc,technology,0.0
"When I left, it was 4-3, Blues with 2:00 to go!  As I predicted in
""@#$%! I was right in the first place!!!""  Blues in 6!  YES!!!

Of course it's only one game -- that could be the 'Hawks stab in the face to
wake them up -- that's what playoffs are about, on any given day... :-)",10,rec.sport.hockey,recreation,2.0
"I would like to make everyone aware that in winning the NL West the Atlanta
Braves did not lead wire-to-wire.  Through games of 4/14/93 the Houston
Astros are percentage points ahead of the ""unbeatable"" Braves.


Go Astros!!!!!",9,rec.sport.baseball,recreation,2.0
"**********************************************************************

		      2ND CALL FOR PRESENTATIONS
	
      NAVY SCIENTIFIC VISUALIZATION AND VIRTUAL REALITY SEMINAR

			Tuesday, June 22, 1993

	    Carderock Division, Naval Surface Warfare Center
	      (formerly the David Taylor Research Center)

			  Bethesda, Maryland

**********************************************************************

SPONSOR: NESS (Navy Engineering Software System) is sponsoring a 
one-day Navy Scientific Visualization and Virtual Reality Seminar.  
The purpose of the seminar is to present and exchange information for
Navy-related scientific visualization and virtual reality programs, 
research, developments, and applications.

PRESENTATIONS: Presentations are solicited on all aspects of 
Navy-related scientific visualization and virtual reality.  All 
current work, works-in-progress, and proposed work by Navy 
organizations will be considered.  Four types of presentations are 
available.

     1. Regular presentation: 20-30 minutes in length
     2. Short presentation: 10 minutes in length
     3. Video presentation: a stand-alone videotape (author need not 
	attend the seminar)
     4. Scientific visualization or virtual reality demonstration (BYOH)

Accepted presentations will not be published in any proceedings, 
however, viewgraphs and other materials will be reproduced for 
seminar attendees.

ABSTRACTS: Authors should submit a one page abstract and/or videotape to:

     Robert Lipman
     Naval Surface Warfare Center, Carderock Division
     Code 2042
     Bethesda, Maryland  20084-5000

     VOICE (301) 227-3618;  FAX (301) 227-5753  
     E-MAIL  lipman@oasys.dt.navy.mil

Authors should include the type of presentation, their affiliations, 
addresses, telephone and FAX numbers, and addresses.  Multi-author 
papers should designate one point of contact.

**********************************************************************
DEADLINES: The abstact submission deadline is April 30, 1993.  
Notification of acceptance will be sent by May 14, 1993.  
Materials for reproduction must be received by June 1, 1993.
**********************************************************************

For further information, contact Robert Lipman at the above address.

**********************************************************************

	  PLEASE DISTRIBUTE AS WIDELY AS POSSIBLE, THANKS.

**********************************************************************


Robert Lipman                     | Internet: lipman@oasys.dt.navy.mil
David Taylor Model Basin - CDNSWC |       or: lip@ocean.dt.navy.mil
Computational Signatures and      | Voicenet: (301) 227-3618
   Structures Group, Code 2042    | Factsnet: (301) 227-5753
Bethesda, Maryland  20084-5000    | Phishnet: stockings@long.legs",1,comp.graphics,technology,0.0
"

Source for ""does not"" comment: the CD-ROM and manuals for the March beta
-- there *is* no X windows server there.

Will there be?  Of course.  (Even) if Microsoft supplies one with NT,
other vendors will no doubt port their's to NT.",2,comp.os.ms-windows.misc,technology,0.0
"
If I'm not mistaken, this is the usual sort of precaution against loss of
communications.  That timer is counting down continuously; if it ever hits
zero, that means Galileo hasn't heard from Earth in a suspiciously long
time and it may be Galileo's fault... so it's time to go into a fallback
mode that minimizes chances of spacecraft damage and maximizes chances
of restoring contact.  I don't know exactly what-all Galileo does in such
a situation, but a common example is to switch receivers, on the theory
that maybe the one you're listening with has died.",14,sci.space,science,1.0
Save youself the cash.  Take it from a BMW mechanic.  Idiot lights are for just that.  Buy yourself a ballpoint pen and write it down yourself.  Change your oil every 3000 mi. and you will be just fine.,7,rec.autos,recreation,2.0
"I want to go from 512K to 1M VRAM on my Quadra 800.  How many 512K SIMMS do I
need to buy?  Is the current 512K soldered on the board or do I need to take
out the current VRAM before I add more?

Thanks,

Wesley Stuart Jones",4,comp.sys.mac.hardware,technology,0.0
"



But of course it does.   It's certainly a legal matter.  If it's not a
legal matter that interest *you* you may simply put it in your kill
file. ",16,talk.politics.guns,politics,3.0
"I was wondering if anyone types in the box scores each day.
I am at college and am not able to get them till the weekend.
I would be thankful if someone could p-mail the Twins box scores every so 
often.
Also I am looking for a Twins 93 schedule.",9,rec.sport.baseball,recreation,2.0
"


   Better yet, instead of thrashing around on the DOS file system, take
it a step further.  Write yourself a minimal ""file system"" program that
is used to create/delete files, en/decrypt them to ramdisk, list a
directory. Put the util, password protected, on a floppy.

   The catch is that the storage space used by this util is NOT part
of the DOS file system.  Instead, defrag your disk, thus packing all
allocated clusters into clusters 0-n.  Then use the back end of the
partition to hold your 'stealth' file system.  Or, leave a small 2nd
partition on the disk that is not assigned to DOS.  Another approach
might be to use a directory that contains a set of invariant files (DOS
system files, for instance).  Due to DOS allocating a minimum storage 
unit of a ""cluster"" there is unused physical space on the disk between
the tail end of each file and the end of its associated cluster. These
dead spaces could be concatenated and used to hold your stealth file
system.

   Now you have a situation where no encrypted data ""appears"" on your
disk at all :-). ",11,sci.crypt,science,1.0
"
  Not with a hub cap but one of those ""Lumber yard delivery
trucks"" made life interesting when he hit a 'dip' in the road
and several sheets of sheetrock and a dozen 5 gallon cans of
spackle came off at 70 mph. It got real interesting for about
20 seconds or so. Had to use a wood mallet to get all the dried
spackle off Me, the Helmet and the bike when I got home. Thanks 
to the bob tail Kenworth between me and the lumber truck I had
a ""Path"" to drive through he made with his tires (and threw up
the corresponding monsoon from those tires as he ran over
what ever cans of spackle didn't burst in impact). A car in
front of me in the right lane hit her brakes, did a 360 and
nailed a bridge abutment half way through the second 360.

The messiest time was in San Diego in 69' was on my way
back to the apartment in ocean beach on my Sportster and
had just picked up a shake, burger n fries from jack in
the box and stuffed em in my foul weather jacket when the
milk shake opened up on Nimitz blvd at 50 mph, nothing
like the smell of vanilla milk shake cooking on the
engine as it runs down your groin and legs and 15 people
waiting in back of you to make the same left turn you are.",8,rec.motorcycles,recreation,2.0
"Can anybody send me Pinouts of Real Time Clock IC of OKI Semiconductors,
58321. I wish to know if any RTC IC of OKI has an inbuilt crystal rather
than an external 32.768KHz crystal.
Thanks in advance.
Nilesh Parikh
nilesh@shakti.ncst.ernet.in

",12,sci.electronics,science,1.0
": As far as I can tell, the MD is an offshoot of technology that already exists.
: It is an MO drive.  MO drives exist already for computers.  They're expensive
: and a bit slow, but the disks are cheep (128 mb disks).  Dan.

I read a recent article in Personal Computer World mainly about the new
digit audion formats (DCC and MD) but at the end talked about how nice
it would be to use these for data storage with a brief calculation of
how much data you could store. The author had been talking to someone
from Sony about these formats and mentioned this to get the reply ""MD
is a purely audio format, we wouldn't use it for data"", then when
pressed for info about MO the Sony man basically admitted that it was
no more than a slight adaptabtion on MD!

What I think the original poster was wanting was MO drives at MD audio
player prices. I'd assume that the problem here is that an MD system
can have higher tolerances than an MO system as the ear doesn't pick up
the occasional bit error as well as an archiving program!

--",3,comp.sys.ibm.pc.hardware,technology,0.0
"                                         [ to a .rle file   ^^^^^^^]

 I thought I'd reply to this, though I ain't brad.  AT any case, a lot
of picture-file viewers that will convert, say, between .gif,etc, to
.bmp *will* convert to .rle.  I Know for a fact that PaintShop
(shareware from cica; /desktop, I think, filename psVVV.zip (I think,
where VVV is the ver. number.  If that's not true, let me know and I""ll
post a corection).


This, however, will write your .rle file with a .bmp extension, so you
have to rename it.

NOW, another thing....
this is from the windows' FAQ:

your file has to be less than 64 K
( at least that's what the faq says, but Mine wont work for more than
about 30...maybe they mend 32K, I don't know).

Your file has to fit VGA size (480 * 860, or whatever standard vga size
is.)  If you use a non-vga screen (e.g. Cga, ega, svga, there is also a
way to do it, but I thing instead of vgalogo.lgo you use another file,
such as cgalogo.lgo, egalogo.lgo, or something.  I'm not sure about
this, as I have a vga, but i'm sure you could find it in the faq (a
windows help ver. of which *is* available at cica, but don't konw the
filename). 

ALSO....your .bmp has to be 16 COLOURS Or less.

These specs rule out some of the good .bmp's.  I found cartoon drawings
work quite well as they have the advantage of looking good with little
memory.

Finally, REMEMBER TO SAVE YOUR CURRENT WIN.COM before, and put your
new win.com in the windows directory.  Also, don't start windows from a
directory where another win.com is present, as *that* is used instead of
the one in the windows dir, and win. won't start.


Share this fairly, but don't take a slice of my pie (PF).

Mickey
",2,comp.os.ms-windows.misc,technology,0.0
"I was wondering if anyone has ever seen/heard of a utility that converts
any type of image format (gif,tiff,pcx,bmp,jpeg,etc.) to an ascii
representation.  I have seen some very sophiticated art in ascii format, but
never was I able to find the author or any program that may have converted
the data from a picture format.

Any help or leads would be great. Thanks in advance.
Danny Dunlavy",1,comp.graphics,technology,0.0
"
   Try putting one of the IRQs for your COM ports onto IRQ2. The hardware will
automagically wrap IRQ2 to IRQ9 on AT class machines (eg, anything with high
IRQs). This is what I'm doing on my set up right now. 
   I've got COM2 on IRQ2 (really IRQ9 - address it this way in software), COM1
on IRQ3, SoundBlaster on IRQ5, LPT1 on IRQ7, and my ATI BusMouse port on one of
the interrupts in between. Works just great.
   If you need even more, there's a text file floating around somewhere that
details how to hack up any serial card (and probably any others) to work on the
higher IRQs. It basically involves cutting the trace to the low IRQ and running a wire over the a high IRQ pin on the 16bit expansion bus.

  It will be best to put the modem's COM port onto IRQ2/9. This will be the 

first IRQ serviced by the system, giving the modem a better response -- 
especially handy under multitaskers like OS/2 -- which I'm running with no
problems.

Justin",3,comp.sys.ibm.pc.hardware,technology,0.0
"Does anybody have an algorithm for ""flattening"" out a globe, or any other
parametric surface, that is definied parametrically. 
That is, I would like to take a sheet of paper and a knife and to be
able to calculate how I must cut in the paper so I can fold it to a
globe (or any other object).
",1,comp.graphics,technology,0.0
"
It's exactly as dangerous as it looks. You're hard to see and have little
protection. Keeping out of trouble means knowing your limits, keeping your
machine in good shape and being able to predict and make up for every stupid
move that drivers make out there. We deal with it because it's fun, but
staying alive takes a conscious effort.",8,rec.motorcycles,recreation,2.0
"
	You and Mr. bobby really need to sit down and decide what
exactly Islam  *is* before posting here.

	According to 'Zlumber, one is NOT a muslim when one is doing evil. 
[ A muslin can do no evil ] According to him, one who does evil is suffering 
from ""temporary athiesm.""

	Now, would the members who claim to be ""Muslims"" get their stories 
straight????

--


       ""Satan and the Angels do not have freewill.  
        They do what god tells them to do. """,0,alt.atheism,politics,3.0
" crud deleted... 

You are missing out on a lot of neat old rides.
-- 
-----------------------------------------------------------------------
""Tuba"" (Irwin)      ""I honk therefore I am""     CompuTrac-Richardson,Tx
irwin@cmptrc.lonestar.org    DoD #0826          (R75/6)",8,rec.motorcycles,recreation,2.0
"Re: Flaming wreckage

I wrote my congressmen strongly worded letters demanding they dissolve the
BATF.

Perhaps anger and grief can help spur a letter writing campaign?",16,talk.politics.guns,politics,3.0
"

All you have to do is buy a MacroMedia MacRecorder. This plugs into your
seril port and acts as a microphone. North Star computers should be able
to order you one.
-- 
---------------------------------------
Liam Morland  ad358@freenet.carleton.ca",4,comp.sys.mac.hardware,technology,0.0
"If re-boosting the HST by carrying it with a shuttle would not damage it,
then why couldn't HST be brought back to earth and the repair job done
here?

Is it because two shuttle flights would be required, adding to the alredy
horrendous expense?

Gruss,
Dr Bruce Scott                             The deadliest bullshit is
Max-Planck-Institut fuer Plasmaphysik       odorless and transparent
bds at spl6n1.aug.ipp-garching.mpg.de                 -- W Gibson
",14,sci.space,science,1.0
" Umm, perhaps you could explain what 'rights' we are talking about
here ..",14,sci.space,science,1.0
"

OK: So you were a naive teen.


	Wrong: 1915 and if you do your homework, 1909.
But he was born LAST century (1883).
",19,talk.religion.misc,politics,3.0
"






Exactly...

I didn't want to mess with tga or rle.  So I wrote the following script. 
All you need is the very standard set of pbm utilities. 

This script is a .pov to .jpg converter.  Just run it like this:

  pov2jpg 1280 1024 fred.pov 

You will need to modify the path's in the script to reflect where you put
povray and its include files.  If you have a problem with disk space, you
can use named pipes instead of temporary files.

I hope you find it useful...

----------------------------------------------------------------------------

#!/bin/sh

if [ $# -lt 3 ] ; then
  echo ""usage:  $0 width height sourcefile.pov other_options""
  exit
fi

width=$1
height=$2
datafile=$3
shift 3

#basedatafile=`echo $datafile | sed -e ""s/\(.*\)\.pov/\1/""`

thedatafile=`basename $datafile` 
basedatafile=`basename $datafile .pov` 
dirdatafile=`dirname $datafile` 

cd $dirdatafile
/afs/rnd.sas.com/u/sherman/pov/povsrc/build/povray \
  +l/afs/rnd.sas.com/u/sherman/pov/povscn/include \
  +o/tmp/data$$ +w${width} +h${height} +fr +i${thedatafile} $*

echo "" ""
rawtopgm $width $height < /tmp/data$$.grn > /tmp/green$$
rawtopgm $width $height < /tmp/data$$.red > /tmp/red$$
rawtopgm $width $height < /tmp/data$$.blu > /tmp/blue$$
rgb3toppm /tmp/red$$ /tmp/green$$ /tmp/blue$$ | cjpeg > ${basedatafile}.jpg 
rm /tmp/red$$ /tmp/green$$ /tmp/blue$$ /tmp/data$$.grn /tmp/data$$.red \
   /tmp/data$$.blu
echo ""Wrote output to ${basedatafile}.jpg""

---------------------------------------------------------------------------
",1,comp.graphics,technology,0.0
"The reason I'm posting this article to this newsgroup is to:
1. gather any information about this disorder from anyone who might
   have recently been *e*ffected by it ( from being associated with
   it or actually having this disorder ) and
2. help me find out where I can access any medical literature associated
   with seizures over the internet.

Recently, I had a baby boy born with seizures which occured 12-15 hours
after birth. He was immediately transferred to a major hospital in Boston
and has since been undergoing extensive drug treatment for his condition.
This has been a major learning experience for me and my wife not only in
learning the medical problems that faced our son but also in dealing with
hospitals, procedures...etc.

I don't want to go into a lot of detail, but his condition was termed 
quite severe at first then slowly he began to grow and put on weight
as a normal baby would. He was put on the standard anti-convulsion drugs
and that did not seem to help out. His MRI, EKG, cat-scans are all normal,
but the EEG's show alot of seizure activity. After many metabolic tests,
body structure tests, and infection/virus tests the doctors still do not
know quite what type of siezures he is having (although they do have alot
of evidence that it is now pointing to infantile spasms ). This is where
we stand right now....",13,sci.med,science,1.0
"

   |>>|>       Excerpts from ""Insight"" magazine, March 15, 1993

   |                       *Paranoia part deleted.*

   |  Isn't Insight magazine published by the Mooneys?

   I don't remember the article that you removed so I can't comment on it.
   What I can comment on though is your response.

   Do you really believe that what you wrote is sufficient to refute
   the article?  Do have any facts in addition to your opinion?

No one has time to chase down every rumor that gets printed
in the National Enquirer or whatever.  The point is to wait
and see if the assertions of the (rather bizarre) original
post will be corroborated in any way.  Perhaps they will.
The recent posts of the rather bizarre original poster speak
for themselves.",18,talk.politics.misc,politics,3.0
"FOR SALE:  1990 Pontiac Grand Prix SE

2-Door Coupe,
White, White rims, Gray interior.
58K miles (mostly highway),
3.1 Litre V6 multi-port fuel-injected engine,
5 speed manual transmission.

One owner.

Options include:

A/C,
Rear defogger,
Power steering,
Power brakes,
Power windows,
Power locks,
Power mirrors,
Cruise control,
Power glass moonroof with sunshade,
Power seat/recliner (driver's),
Power seat/comfort/lumbar/headrest (both front seats),
Trunk pass-through (for skis)
AM/FM cassette stero (6 speakers),
Electronic monitor/service system with graphic compass,
Stereo controls duplicated on steering wheel,
Remote-keyless entry,
and others.

Asking $11,500.

The car looks and rides like it just rolled off
of the dealers lot.  It has been garaged and pampered.
It gets an average of 27.5 mpg highway, sometimes better;
city is around 19-23 mpg, depending on how it is driven.

Selling because of baby coming soon.  Need 4-door family
car.  Will consider trade or partial trade with Ford Taurus,
Mercury Sable, or 4-door Pontiac Grand Am or similar American
car.

I live in the Boston,MA area.",6,misc.forsale,forsale,4.0
" 
In the game *I* have seen yesterday in the Olympiahalle of Munich
Canada won 4-1 against Sweden! The last goal for Canada was at 19:59 in
the 3rd period. Maybe you shouldn't go and get you another beer 
before the game is over and then post imaginary results...

Holger
",10,rec.sport.hockey,recreation,2.0
"
Up to this point, I really thought this had been written by a 
pro-SDCN, anti-mediot poster blessed with a certain talent for
sarcasm and biting remarks.  Somebody like me, for instance.
The lurid overstatements were obviously intended to humiliate the
original poster.


But then the scales were lifted from my eyes.  Looks like Robert is
really being serious.  Oh, well.

I compare the performance of the 1992 Phillies with the 1987 edition,
which had outstanding run producers at every position except SS, yet
finished at a frustrating sub-.500 level.  The 1987 folks didn't 
ever amount to anything, and neither will the 1992 squad, IMHO.

Any other parallels with previous years' teams for this year's
editions (in the style of 1993 Braves = 1971 Orioles)?
-- 
Greg ""Mockingbird"" Franklin   ""Interracial mixing encompasses a lot lot more
f67709907@ccit.arizona.edu      than mingling between G7 races."" -- robohen",9,rec.sport.baseball,recreation,2.0
"I will take $375 for the whole package.  Original post follows:

----------------------------------------------------------------------------

Article: 61358 of misc.forsale
Newsgroups: misc.forsale,misc.forsale.computers
From: wgs1@Isis.MsState.Edu (Walter G. Seefeld)
Subject: SyQuest internal 44 drive with 8 cartridges: sale or trade
Summary: Will trade 350Mb for ~300Mb IDE, or sell for $450
Organization: Mississippi State University
Distribution: na
Date: Tue, 20 Apr 1993 18:48:06 GMT

This drive is less than one year old.  The cartridges have all been bought
since then.  All is in excellent condition and still under warranty.
Due to a change in system use, I now need a large, contiguous drive.

Offer includes:
	SyDos 44i internal drive
	SCSI adapter card and cables
	All original documentation
	Software
	All original packaging
	8 cartridges totalling over 350Mb (no bad sectors or defects)

The installation was a breeze on my 386 clone.

I will trade for something near 300Mb IDE, or sell for $450.
I will also consider trading for 4 4Mx9 30 pin SIMMs at 70ns.
--
Walter G. Seefeld          |  By the dawn's early light,
940 N. Jackson St. #1A     |  By all I know is right,
Starkville, MS 39759       |  We're going to reap what we have sown.
N5QXR                      |   -Jackson Brown 

",6,misc.forsale,forsale,4.0
"

If they hadn't killed the ATF people in the original raid, I think I would 
laugh my ass off.  (Actually, to be honest, I still might.)",16,talk.politics.guns,politics,3.0
"                                                                      
ALL this shows is that YOU don't know much about SCSI.

SCSI-1 {with a SCSI-1 controler chip} range is indeed 0-5MB/s
and that is ALL you have right about SCSI
SCSI-1 {With a SCSI-2 controller chip}: 4-6MB/s with 10MB/s burst {8-bit}
 Note the INCREASE in SPEED, the Mac Quadra uses this version of SCSI-1
 so it DOES exist. Some PC use this set up too.
SCSI-2 {8-bit/SCSI-1 mode}:          4-6MB/s with 10MB/s burst
SCSI-2 {16-bit/wide or fast mode}:  8-12MB/s with 20MB/s burst
SCSI-2 {32-bit/wide AND fast}:     15-20MB/s with 40MB/s burst
 
By your OWN data the ""Although SCSI is twice as fast as ESDI"" is correct
With a SCSI-2 controller chip SCSI-1 can reach 10MB/s which is indeed
""20% faster than IDE"" {120% of 8.3 is 9.96}. ALL these SCSI facts have been
posted to this newsgroup in my Mac & IBM info sheet {available by FTP on 
sumex-aim.stanford.edu (36.44.0.6) in the info-mac/report as 
mac-ibm-compare[version #].txt (It should be 173 but 161 may still be there)}

Part of this problem is both Mac and IBM PC are inconsiant about what SCSI
is which.  Though it is WELL documented that the Quadra has a SCSI-2 chip
an Apple salesperson said ""it uses a fast SCSI-1 chip"" {Not at a 6MB/s,
10MB/s burst it does not. SCSI-1 is 5MB/s maximum synchronous and Quadra
uses ANsynchronous SCSI which is SLOWER}  It seems that Mac and IBM see
SCSI-1 interface and think 'SCSI-1' when it maybe a SCSI-1 interface driven
in the machine by a SCSi-2 controller chip in 8-bit mode {Which is MUCH
FASTER then true SCSI-1 can go}.",3,comp.sys.ibm.pc.hardware,technology,0.0
